Index,nareit
12/31/1975,63.74
1/31/1976,73.03
2/29/1976,75.88
3/31/1976,75.21
4/30/1976,75.76
5/31/1976,74.25
6/30/1976,75.28
7/31/1976,77.61
8/31/1976,79.91
9/30/1976,82.58
10/31/1976,83.62
11/30/1976,87.24
12/31/1976,94.96
1/31/1977,96.68
2/28/1977,96.23
3/31/1977,96.58
4/30/1977,100.11
5/31/1977,98.98
6/30/1977,104.03
7/31/1977,107.48
8/31/1977,108.66
9/30/1977,106.97
10/31/1977,105.77
11/30/1977,112.82
12/31/1977,113.07
1/31/1978,109.44
2/28/1978,110.68
3/31/1978,114.95
4/30/1978,115.56
5/31/1978,113.52
6/30/1978,113.25
7/31/1978,116.19
8/31/1978,121.10
9/30/1978,122.75
10/31/1978,109.81
11/30/1978,110.50
12/31/1978,111.21
1/31/1979,119.72
2/28/1979,119.46
3/31/1979,128.96
4/30/1979,130.91
5/31/1979,130.73
6/30/1979,140.89
7/31/1979,144.49
8/31/1979,159.05
9/30/1979,154.59
10/31/1979,136.90
11/30/1979,144.07
12/31/1979,145.16
1/31/1980,155.16
2/29/1980,153.35
3/31/1980,132.93
4/30/1980,144.19
5/31/1980,155.24
6/30/1980,164.24
7/31/1980,177.36
8/31/1980,181.18
9/30/1980,177.97
10/31/1980,192.10
11/30/1980,190.13
12/31/1980,185.84
1/31/1981,189.32
2/28/1981,190.56
3/31/1981,202.00
4/30/1981,204.98
5/31/1981,195.60
6/30/1981,203.40
7/31/1981,204.58
8/31/1981,193.86
9/30/1981,183.09
10/31/1981,192.55
11/30/1981,204.84
12/31/1981,201.78
1/31/1982,199.97
2/28/1982,195.87
3/31/1982,196.91
4/30/1982,201.81
5/31/1982,199.82
6/30/1982,192.48
7/31/1982,200.12
8/31/1982,214.25
9/30/1982,224.51
10/31/1982,249.14
11/30/1982,260.99
12/31/1982,265.62
1/31/1983,271.71
2/28/1983,279.05
3/31/1983,302.27
4/30/1983,318.23
5/31/1983,318.44
6/30/1983,315.54
7/31/1983,311.22
8/31/1983,308.82
9/30/1983,315.71
10/31/1983,323.66
11/30/1983,328.30
12/31/1983,333.28
1/31/1984,337.64
2/29/1984,332.40
3/31/1984,334.72
4/30/1984,338.94
5/31/1984,329.37
6/30/1984,330.21
7/31/1984,327.80
8/31/1984,343.79
9/30/1984,361.72
10/31/1984,372.67
11/30/1984,377.42
12/31/1984,382.65
1/31/1985,404.31
2/28/1985,410.96
3/31/1985,408.20
4/30/1985,408.57
5/31/1985,419.70
6/30/1985,429.44
7/31/1985,433.40
8/31/1985,409.70
9/30/1985,396.94
10/31/1985,409.41
11/30/1985,402.83
12/31/1985,405.30
1/31/1986,420.97
2/28/1986,436.90
3/31/1986,447.65
4/30/1986,450.33
5/31/1986,447.76
6/30/1986,463.52
7/31/1986,465.62
8/31/1986,485.03
9/30/1986,473.40
10/31/1986,490.89
11/30/1986,488.17
12/31/1986,483.03
1/31/1987,493.35
2/28/1987,508.47
3/31/1987,509.40
4/30/1987,495.59
5/31/1987,490.87
6/30/1987,500.64
7/31/1987,501.13
8/31/1987,491.61
9/30/1987,481.52
10/31/1987,412.75
11/30/1987,416.69
12/31/1987,431.49
1/31/1988,467.03
2/29/1988,478.28
3/31/1988,479.24
4/30/1988,483.18
5/31/1988,477.65
6/30/1988,490.02
7/31/1988,496.21
8/31/1988,493.06
9/30/1988,491.37
10/31/1988,487.72
11/30/1988,479.91
12/31/1988,480.49
1/31/1989,482.69
2/28/1989,474.71
3/31/1989,474.58
4/30/1989,482.52
5/31/1989,493.99
6/30/1989,498.30
7/31/1989,510.15
8/31/1989,510.65
9/30/1989,504.61
10/31/1989,483.76
11/30/1989,477.21
12/31/1989,471.78
1/31/1990,461.26
2/28/1990,445.44
3/31/1990,446.18
4/30/1990,439.33
5/31/1990,439.19
6/30/1990,442.54
7/31/1990,434.58
8/31/1990,408.04
9/30/1990,379.76
10/31/1990,366.46
11/30/1990,389.80
12/31/1990,389.95
1/31/1991,424.12
2/28/1991,444.98
3/31/1991,478.90
4/30/1991,490.28
5/31/1991,501.85
6/30/1991,488.84
7/31/1991,498.27
8/31/1991,498.57
9/30/1991,508.20
10/31/1991,505.06
11/30/1991,505.18
12/31/1991,529.08
1/31/1992,555.27
2/29/1992,542.38
3/31/1992,534.31
4/30/1992,535.51
5/31/1992,552.75
6/30/1992,546.05
7/31/1992,564.53
8/31/1992,559.65
9/30/1992,573.00
10/31/1992,571.12
11/30/1992,582.24
12/31/1992,593.49
1/31/1993,631.29
2/28/1993,661.04
3/31/1993,706.94
4/30/1993,675.78
5/31/1993,667.53
6/30/1993,687.12
7/31/1993,698.72
8/31/1993,715.48
9/30/1993,748.12
10/31/1993,738.70
11/30/1993,703.76
12/31/1993,703.57
1/31/1994,724.61
2/28/1994,749.56
3/31/1994,719.38
4/30/1994,731.05
5/31/1994,745.91
6/30/1994,729.72
7/31/1994,727.87
8/31/1994,731.91
9/30/1994,717.04
10/31/1994,690.44
11/30/1994,668.00
12/31/1994,709.24
1/31/1995,698.71
2/28/1995,721.39
3/31/1995,717.09
4/30/1995,718.71
5/31/1995,751.07
6/30/1995,764.39
7/31/1995,776.34
8/31/1995,787.89
9/30/1995,802.31
10/31/1995,787.55
11/30/1995,795.45
12/31/1995,839.09
1/31/1996,855.16
2/29/1996,861.75
3/31/1996,860.51
4/30/1996,863.31
5/31/1996,886.74
6/30/1996,898.96
7/31/1996,906.70
8/31/1996,943.59
9/30/1996,960.00
10/31/1996,990.80
11/30/1996,1035.88
12/31/1996,1139.10
1/31/1997,1151.78
2/28/1997,1152.77
3/31/1997,1142.11
4/30/1997,1116.07
5/31/1997,1151.79
6/30/1997,1207.07
7/31/1997,1243.20
8/31/1997,1240.70
9/30/1997,1339.81
10/31/1997,1305.67
11/30/1997,1327.80
12/31/1997,1353.94
1/31/1998,1347.61
2/28/1998,1324.74
3/31/1998,1346.59
4/30/1998,1303.30
5/31/1998,1292.25
6/30/1998,1284.19
7/31/1998,1200.01
8/31/1998,1075.84
9/30/1998,1144.13
10/31/1998,1112.97
11/30/1998,1133.23
12/31/1998,1099.09
1/31/1999,1077.24
2/28/1999,1048.32
3/31/1999,1043.05
4/30/1999,1144.33
5/31/1999,1169.51
6/30/1999,1153.42
7/31/1999,1111.09
8/31/1999,1086.83
9/30/1999,1046.38
10/31/1999,1019.39
11/30/1999,997.96
12/31/1999,1027.92
1/31/2000,1031.41
2/29/2000,1017.95
3/31/2000,1050.95
4/30/2000,1120.17
5/31/2000,1131.89
6/30/2000,1161.92
7/31/2000,1260.66
8/31/2000,1210.66
9/30/2000,1249.59
10/31/2000,1196.02
11/30/2000,1210.26
12/31/2000,1294.05
1/31/2001,1312.88
2/28/2001,1295.87
3/31/2001,1307.67
4/30/2001,1342.06
5/31/2001,1376.06
6/30/2001,1456.51
7/31/2001,1431.32
8/31/2001,1479.80
9/30/2001,1420.49
10/31/2001,1382.22
11/30/2001,1456.21
12/31/2001,1494.65
1/31/2002,1500.34
2/28/2002,1527.50
3/31/2002,1618.94
4/30/2002,1640.20
5/31/2002,1663.91
6/30/2002,1709.47
7/31/2002,1623.17
8/31/2002,1622.78
9/30/2002,1558.64
10/31/2002,1487.43
11/30/2002,1554.81
12/31/2002,1572.61
1/31/2003,1528.74
2/28/2003,1553.50
3/31/2003,1585.62
4/30/2003,1661.26
5/31/2003,1762.95
6/30/2003,1808.81
7/31/2003,1903.50
8/31/2003,1911.69
9/30/2003,1971.87
10/31/2003,2014.35
11/30/2003,2105.34
12/31/2003,2177.53
1/31/2004,2271.21
2/29/2004,2321.02
3/31/2004,2450.94
4/30/2004,2076.83
5/31/2004,2223.50
6/30/2004,2290.04
7/31/2004,2291.01
8/31/2004,2471.59
9/30/2004,2476.38
10/31/2004,2588.96
11/30/2004,2709.02
12/31/2004,2839.70
1/31/2005,2615.03
2/28/2005,2673.98
3/31/2005,2624.25
4/30/2005,2747.03
5/31/2005,2845.25
6/30/2005,2978.97
7/31/2005,3174.61
8/31/2005,3039.81
9/30/2005,3036.75
10/31/2005,2953.72
11/30/2005,3081.86
12/31/2005,3075.06
1/31/2006,3290.26
2/28/2006,3337.77
3/31/2006,3504.79
4/30/2006,3396.04
5/31/2006,3301.52
6/30/2006,3466.31
7/31/2006,3570.76
8/31/2006,3692.92
9/30/2006,3766.03
10/31/2006,4004.00
11/30/2006,4182.43
12/31/2006,4131.39
1/31/2007,4455.00
2/28/2007,4325.12
3/31/2007,4216.98
4/30/2007,4221.58
5/31/2007,4226.00
6/30/2007,3843.94
7/31/2007,3505.89
8/31/2007,3698.61
9/30/2007,3855.55
10/31/2007,3886.98
11/30/2007,3551.79
12/31/2007,3394.71
1/31/2008,3384.36
2/29/2008,3254.17
3/31/2008,3380.46
4/30/2008,3586.71
5/31/2008,3613.87
6/30/2008,3207.18
7/31/2008,3297.34
8/31/2008,3363.51
9/30/2008,3352.33
10/31/2008,2339.06
11/30/2008,1835.84
12/31/2008,2127.27
1/31/2009,1776.40
2/28/2009,1430.65
3/31/2009,1493.73
4/30/2009,1911.60
5/31/2009,1952.50
6/30/2009,1904.29
7/31/2009,2098.13
8/31/2009,2354.60
9/30/2009,2504.52
10/31/2009,2384.26
11/30/2009,2547.43
12/31/2009,2711.15
1/31/2010,2584.32
2/28/2010,2715.02
3/31/2010,2970.74
4/30/2010,3166.23
5/31/2010,2997.91
6/30/2010,2862.01
