Start,1/15/1952
End,9/15/2009
Frequency,D
Name,US CPI NADJ
Code,USOCP009F
CURRENCY,U$
1/15/1960,15
2/15/1960,15.1
3/15/1960,15.1
4/15/1960,15.1
5/15/1960,15.1
6/15/1960,15.2
7/15/1960,15.2
8/15/1960,15.2
9/15/1960,15.2
10/15/1960,15.3
11/15/1960,15.3
12/15/1960,15.3
1/15/1961,15.3
2/15/1961,15.3
3/15/1961,15.3
4/15/1961,15.3
5/15/1961,15.3
6/15/1961,15.3
7/15/1961,15.4
8/15/1961,15.3
9/15/1961,15.4
10/15/1961,15.4
11/15/1961,15.4
12/15/1961,15.4
1/15/1962,15.4
2/15/1962,15.4
3/15/1962,15.4
4/15/1962,15.5
5/15/1962,15.5
6/15/1962,15.5
7/15/1962,15.5
8/15/1962,15.5
9/15/1962,15.6
10/15/1962,15.6
11/15/1962,15.6
12/15/1962,15.6
1/15/1963,15.6
2/15/1963,15.6
3/15/1963,15.6
4/15/1963,15.6
5/15/1963,15.6
6/15/1963,15.7
7/15/1963,15.7
8/15/1963,15.7
9/15/1963,15.7
10/15/1963,15.8
11/15/1963,15.8
12/15/1963,15.8
1/15/1964,15.8
2/15/1964,15.8
3/15/1964,15.8
4/15/1964,15.8
5/15/1964,15.8
6/15/1964,15.9
7/15/1964,15.9
8/15/1964,15.9
9/15/1964,15.9
10/15/1964,15.9
11/15/1964,16
12/15/1964,16
1/15/1965,16
2/15/1965,16
3/15/1965,16
4/15/1965,16.1
5/15/1965,16.1
6/15/1965,16.2
7/15/1965,16.2
8/15/1965,16.2
9/15/1965,16.2
10/15/1965,16.2
11/15/1965,16.2
12/15/1965,16.3
1/15/1966,16.3
2/15/1966,16.4
3/15/1966,16.4
4/15/1966,16.5
5/15/1966,16.5
6/15/1966,16.6
7/15/1966,16.6
8/15/1966,16.7
9/15/1966,16.7
10/15/1966,16.8
11/15/1966,16.8
12/15/1966,16.8
1/15/1967,16.8
2/15/1967,16.8
3/15/1967,16.9
4/15/1967,16.9
5/15/1967,17
6/15/1967,17.1
7/15/1967,17.1
8/15/1967,17.2
9/15/1967,17.2
10/15/1967,17.3
11/15/1967,17.3
12/15/1967,17.4
1/15/1968,17.5
2/15/1968,17.5
3/15/1968,17.6
4/15/1968,17.6
5/15/1968,17.7
6/15/1968,17.8
7/15/1968,17.9
8/15/1968,17.9
9/15/1968,18
10/15/1968,18.1
11/15/1968,18.1
12/15/1968,18.2
1/15/1969,18.2
2/15/1969,18.3
3/15/1969,18.5
4/15/1969,18.6
5/15/1969,18.6
6/15/1969,18.7
7/15/1969,18.8
8/15/1969,18.9
9/15/1969,19
10/15/1969,19.1
11/15/1969,19.2
12/15/1969,19.3
1/15/1970,19.4
2/15/1970,19.5
3/15/1970,19.6
4/15/1970,19.7
5/15/1970,19.8
6/15/1970,19.9
7/15/1970,20
8/15/1970,20
9/15/1970,20.1
10/15/1970,20.2
11/15/1970,20.3
12/15/1970,20.4
1/15/1971,20.4
2/15/1971,20.4
3/15/1971,20.5
4/15/1971,20.5
5/15/1971,20.6
6/15/1971,20.8
7/15/1971,20.8
8/15/1971,20.9
9/15/1971,20.9
10/15/1971,20.9
11/15/1971,20.9
12/15/1971,21
1/15/1972,21
2/15/1972,21.1
3/15/1972,21.2
4/15/1972,21.3
5/15/1972,21.3
6/15/1972,21.4
7/15/1972,21.5
8/15/1972,21.5
9/15/1972,21.6
10/15/1972,21.7
11/15/1972,21.7
12/15/1972,21.8
1/15/1973,21.8
2/15/1973,22
3/15/1973,22.2
4/15/1973,22.3
5/15/1973,22.5
6/15/1973,22.6
7/15/1973,22.7
8/15/1973,23.1
9/15/1973,23.1
10/15/1973,23.3
11/15/1973,23.5
12/15/1973,23.7
1/15/1974,23.9
2/15/1974,24.2
3/15/1974,24.5
4/15/1974,24.6
5/15/1974,24.9
6/15/1974,25.1
7/15/1974,25.3
8/15/1974,25.6
9/15/1974,25.9
10/15/1974,26.2
11/15/1974,26.4
12/15/1974,26.6
1/15/1975,26.7
2/15/1975,26.9
3/15/1975,27
4/15/1975,27.1
5/15/1975,27.2
6/15/1975,27.4
7/15/1975,27.8
8/15/1975,27.8
9/15/1975,28
10/15/1975,28.1
11/15/1975,28.3
12/15/1975,28.4
1/15/1976,28.5
2/15/1976,28.6
3/15/1976,28.6
4/15/1976,28.7
5/15/1976,28.9
6/15/1976,29.1
7/15/1976,29.2
8/15/1976,29.4
9/15/1976,29.5
10/15/1976,29.6
11/15/1976,29.7
12/15/1976,29.8
1/15/1977,30
2/15/1977,30.3
3/15/1977,30.5
4/15/1977,30.7
5/15/1977,30.9
6/15/1977,31.1
7/15/1977,31.2
8/15/1977,31.3
9/15/1977,31.4
10/15/1977,31.5
11/15/1977,31.7
12/15/1977,31.8
1/15/1978,32
2/15/1978,32.2
3/15/1978,32.5
4/15/1978,32.7
5/15/1978,33
6/15/1978,33.4
7/15/1978,33.6
8/15/1978,33.8
9/15/1978,34.1
10/15/1978,34.4
11/15/1978,34.5
12/15/1978,34.7
1/15/1979,35
2/15/1979,35.4
3/15/1979,35.7
4/15/1979,36.2
5/15/1979,36.6
6/15/1979,37
7/15/1979,37.4
8/15/1979,37.8
9/15/1979,38.2
10/15/1979,38.5
11/15/1979,38.9
12/15/1979,39.3
1/15/1980,39.8
2/15/1980,40.4
3/15/1980,41
4/15/1980,41.5
5/15/1980,41.9
6/15/1980,42.3
7/15/1980,42.3
8/15/1980,42.7
9/15/1980,43
10/15/1980,43.4
11/15/1980,43.8
12/15/1980,44.2
1/15/1981,44.5
2/15/1981,45
3/15/1981,45.3
4/15/1981,45.6
5/15/1981,46
6/15/1981,46.4
7/15/1981,46.9
8/15/1981,47.3
9/15/1981,47.7
10/15/1981,47.8
11/15/1981,48
12/15/1981,48.1
1/15/1982,48.3
2/15/1982,48.4
3/15/1982,48.4
4/15/1982,48.6
5/15/1982,49.1
6/15/1982,49.7
7/15/1982,49.9
8/15/1982,50
9/15/1982,50.1
10/15/1982,50.3
11/15/1982,50.2
12/15/1982,50
1/15/1983,50.1
2/15/1983,50.1
3/15/1983,50.1
4/15/1983,50.5
5/15/1983,50.8
6/15/1983,50.9
7/15/1983,51.2
8/15/1983,51.3
9/15/1983,51.6
10/15/1983,51.7
11/15/1983,51.8
12/15/1983,51.9
1/15/1984,52.2
2/15/1984,52.4
3/15/1984,52.5
4/15/1984,52.8
5/15/1984,52.9
6/15/1984,53.1
7/15/1984,53.3
8/15/1984,53.5
9/15/1984,53.8
10/15/1984,53.9
11/15/1984,53.9
12/15/1984,53.9
1/15/1985,54
2/15/1985,54.3
3/15/1985,54.5
4/15/1985,54.7
5/15/1985,54.9
6/15/1985,55.1
7/15/1985,55.2
8/15/1985,55.3
9/15/1985,55.5
10/15/1985,55.7
11/15/1985,55.8
12/15/1985,56
1/15/1986,56.1
2/15/1986,56
3/15/1986,55.7
4/15/1986,55.6
5/15/1986,55.8
6/15/1986,56.1
7/15/1986,56.1
8/15/1986,56.2
9/15/1986,56.4
10/15/1986,56.5
11/15/1986,56.5
12/15/1986,56.6
1/15/1987,56.9
2/15/1987,57.1
3/15/1987,57.4
4/15/1987,57.7
5/15/1987,57.9
6/15/1987,58.1
7/15/1987,58.3
8/15/1987,58.6
9/15/1987,58.9
10/15/1987,59
11/15/1987,59.1
12/15/1987,59.1
1/15/1988,59.2
2/15/1988,59.4
3/15/1988,59.7
4/15/1988,60
5/15/1988,60.2
6/15/1988,60.4
7/15/1988,60.7
8/15/1988,60.9
9/15/1988,61.3
10/15/1988,61.5
11/15/1988,61.6
12/15/1988,61.7
1/15/1989,62
2/15/1989,62.3
3/15/1989,62.6
4/15/1989,63
5/15/1989,63.4
6/15/1989,63.5
7/15/1989,63.7
8/15/1989,63.8
9/15/1989,64
10/15/1989,64.3
11/15/1989,64.5
12/15/1989,64.6
1/15/1990,65.2
2/15/1990,65.5
3/15/1990,65.9
4/15/1990,66
5/15/1990,66.2
6/15/1990,66.5
7/15/1990,66.8
8/15/1990,67.4
9/15/1990,67.9
10/15/1990,68.4
11/15/1990,68.5
12/15/1990,68.5
1/15/1991,68.9
2/15/1991,69
3/15/1991,69.1
4/15/1991,69.2
5/15/1991,69.4
6/15/1991,69.6
7/15/1991,69.7
8/15/1991,69.9
9/15/1991,70.3
10/15/1991,70.4
11/15/1991,70.6
12/15/1991,70.6
1/15/1992,70.7
2/15/1992,71
3/15/1992,71.3
4/15/1992,71.4
5/15/1992,71.5
6/15/1992,71.8
7/15/1992,71.9
8/15/1992,72.1
9/15/1992,72.4
10/15/1992,72.6
11/15/1992,72.7
12/15/1992,72.7
1/15/1993,73
2/15/1993,73.3
3/15/1993,73.5
4/15/1993,73.7
5/15/1993,73.8
6/15/1993,73.9
7/15/1993,73.9
8/15/1993,74.1
9/15/1993,74.3
10/15/1993,74.6
11/15/1993,74.7
12/15/1993,74.7
1/15/1994,74.9
2/15/1994,75.1
3/15/1994,75.4
4/15/1994,75.5
5/15/1994,75.5
6/15/1994,75.8
7/15/1994,76
8/15/1994,76.3
9/15/1994,76.5
10/15/1994,76.6
11/15/1994,76.7
12/15/1994,76.7
1/15/1995,77
2/15/1995,77.3
3/15/1995,77.5
4/15/1995,77.8
5/15/1995,77.9
6/15/1995,78.1
7/15/1995,78.1
8/15/1995,78.3
9/15/1995,78.4
10/15/1995,78.7
11/15/1995,78.7
12/15/1995,78.6
1/15/1996,79.1
2/15/1996,79.3
3/15/1996,79.7
4/15/1996,80
5/15/1996,80.2
6/15/1996,80.2
7/15/1996,80.4
8/15/1996,80.5
9/15/1996,80.8
10/15/1996,81.1
11/15/1996,81.2
12/15/1996,81.2
1/15/1997,81.5
2/15/1997,81.7
3/15/1997,81.9
4/15/1997,82
5/15/1997,82
6/15/1997,82.1
7/15/1997,82.2
8/15/1997,82.3
9/15/1997,82.5
10/15/1997,82.7
11/15/1997,82.7
12/15/1997,82.6
1/15/1998,82.7
2/15/1998,82.9
3/15/1998,83.1
4/15/1998,83.2
5/15/1998,83.4
6/15/1998,83.5
7/15/1998,83.6
8/15/1998,83.7
9/15/1998,83.8
10/15/1998,84
11/15/1998,84
12/15/1998,83.9
1/15/1999,84.1
2/15/1999,84.2
3/15/1999,84.5
4/15/1999,85.1
5/15/1999,85.1
6/15/1999,85.1
7/15/1999,85.4
8/15/1999,85.6
9/15/1999,86
10/15/1999,86.1
11/15/1999,86.2
12/15/1999,86.2
1/15/2000,86.4
2/15/2000,86.9
3/15/2000,87.7
4/15/2000,87.7
5/15/2000,87.8
6/15/2000,88.3
7/15/2000,88.5
8/15/2000,88.5
9/15/2000,88.9
10/15/2000,89.1
11/15/2000,89.1
12/15/2000,89.1
1/15/2001,89.7
2/15/2001,90
3/15/2001,90.2
4/15/2001,90.6
5/15/2001,91
6/15/2001,91.1
7/15/2001,90.9
8/15/2001,90.9
9/15/2001,91.3
10/15/2001,91
11/15/2001,90.8
12/15/2001,90.5
1/15/2002,90.7
2/15/2002,91
3/15/2002,91.6
4/15/2002,92.1
5/15/2002,92.1
6/15/2002,92.1
7/15/2002,92.2
8/15/2002,92.5
9/15/2002,92.7
10/15/2002,92.8
11/15/2002,92.8
12/15/2002,92.6
1/15/2003,93
2/15/2003,93.8
3/15/2003,94.3
4/15/2003,94.1
5/15/2003,94
6/15/2003,94.1
7/15/2003,94.2
8/15/2003,94.5
9/15/2003,94.8
10/15/2003,94.7
11/15/2003,94.5
12/15/2003,94.4
1/15/2004,94.8
2/15/2004,95.3
3/15/2004,96
4/15/2004,96.3
5/15/2004,96.8
6/15/2004,97.1
7/15/2004,97
8/15/2004,97
9/15/2004,97.2
10/15/2004,97.8
11/15/2004,97.8
12/15/2004,97.4
1/15/2005,97.6
2/15/2005,98.2
3/15/2005,99
4/15/2005,99.6
5/15/2005,99.5
6/15/2005,99.6
7/15/2005,100.1
8/15/2005,100.6
9/15/2005,101.8
10/15/2005,102
11/15/2005,101.2
12/15/2005,100.8
1/15/2006,101.5
2/15/2006,101.7
3/15/2006,102.3
4/15/2006,103.2
5/15/2006,103.7
6/15/2006,103.9
7/15/2006,104.2
8/15/2006,104.4
9/15/2006,103.9
10/15/2006,103.3
11/15/2006,103.2
12/15/2006,103.3
1/15/2007,103.6
2/15/2007,104.2
3/15/2007,105.2
4/15/2007,105.8
5/15/2007,106.5
6/15/2007,106.7
7/15/2007,106.7
8/15/2007,106.5
9/15/2007,106.8
10/15/2007,107
11/15/2007,107.6
12/15/2007,107.5
1/15/2008,108.1
2/15/2008,108.4
3/15/2008,109.3
4/15/2008,110
5/15/2008,110.9
6/15/2008,112
7/15/2008,112.6
8/15/2008,112.2
9/15/2008,112
10/15/2008,110.9
11/15/2008,108.8
12/15/2008,107.6
1/15/2009,108.1
2/15/2009,108.7
3/15/2009,108.9
4/15/2009,109.2
5/15/2009,109.5
6/15/2009,110.4
7/15/2009,110.3
8/15/2009,110.5
9/15/2009,110.6
10/15/2009,110.7
11/15/2009,110.8
12/15/2009,110.9
