Date[G],Last
19990104,1992.325
19990105,1975.145
19990106,2033.986
19990107,2038.249
19990108,2045.915
19990111,2067.354
19990112,2033.195
19990113,1982.603
19990114,1972.562
19990115,1968.092
19990119,1947.208
19990120,1930.919
19990121,1963.145
19990122,1972.294
19990125,1946.725
19990126,1928.247
19990127,1943.183
19990128,1960.785
19990129,1974.228
19990201,1948.959
19990202,1955.319
19990203,1955.808
19990204,1944.336
19990205,1936.892
19990208,1931.899
19990209,1921.417
19990210,1916.915
19990211,1912.739
19990212,1909.577
19990216,1869.314
19990217,1873.701
19990218,1901.492
19990219,1890.193
19990222,1887.839
19990223,1915.362
19990224,1910
19990225,1918.037
19990226,1883.287
19990301,1888.234
19990302,1910.28
19990303,1932.68
19990304,1963.199
19990305,1972.348
19990308,1997.905
19990309,2007.324
19990310,2068.263
19990311,2039.598
19990312,2038.573
19990315,2026.701
19990316,2032.996
19990317,2078.269
19990318,2073.851
19990319,2090.77
19990322,2132.388
19990323,2117.784
19990324,2100.966
19990325,2136.373
19990326,2175.436
19990329,2186.112
19990330,2206.3
19990331,2201.424
19990401,2186.302
19990405,2202.482
19990406,2201.895
19990407,2151.069
19990408,2133.228
19990409,2179.873
19990412,2168.441
19990413,2189.713
19990414,2167.899
19990415,2191.663
19990416,2213.956
19990419,2234.489
19990420,2226.641
19990421,2243.864
19990422,2251.327
19990423,2244.433
19990426,2231.316
19990427,2238.743
19990428,2278.269
19990429,2289.007
19990430,2292.402
19990503,2302.591
19990504,2312.797
19990505,2314.605
19990506,2277.849
19990507,2262.638
19990510,2280.099
19990511,2258.861
19990512,2231.311
19990513,2257.765
19990514,2252.818
19990517,2245.284
19990518,2200.096
19990519,2188.301
19990520,2188.82
19990521,2201.542
19990524,2165.509
19990525,2172.19
19990526,2185.236
19990527,2173.819
19990528,2167.308
19990601,2136.699
19990602,2165.161
19990603,2175.075
19990604,2210.615
19990607,2246.21
19990608,2230.298
19990609,2249.804
19990610,2238.889
19990611,2274.703
19990614,2277.904
19990615,2278.646
19990616,2245.596
19990617,2255.336
19990618,2253.811
19990621,2232.745
19990622,2225.897
19990623,2260.652
19990624,2250.427
19990625,2252.404
19990628,2239.395
19990629,2255.918
19990630,2306.702
19990701,2296.955
19990702,2296.783
19990706,2283.185
19990707,2289.535
19990708,2290.474
19990709,2297.624
19990712,2299.052
19990713,2312.415
19990714,2307.076
19990715,2329.346
19990716,2338.732
19990719,2342.037
19990720,2296.989
19990721,2306.524
19990722,2341.069
19990723,2404.919
19990726,2390.666
19990727,2372.008
19990728,2383.682
19990729,2409.347
19990730,2389.452
19990802,2419.05
19990803,2415.36
19990804,2444.218
19990805,2454.368
19990806,2480.585
19990809,2506.061
19990810,2512.009
19990811,2514.16
19990812,2495.48
19990813,2513.543
19990816,2504.871
19990817,2528.884
19990818,2522.234
19990819,2546.322
19990820,2544.088
19990823,2551.649
19990824,2530.104
19990825,2482.562
19990826,2495.712
19990827,2506.871
19990830,2544.764
19990831,2557.625
19990901,2552.664
19990902,2510.727
19990903,2542.846
19990907,2605.866
19990908,2598.714
19990909,2643.47
19990910,2661.809
19990913,2678.291
19990914,2649.881
19990915,2639.704
19990916,2642.401
19990917,2656.418
19990920,2631.478
19990921,2626.148
19990922,2638.274
19990923,2700.584
19990924,2702.138
19990927,2712.025
19990928,2709.822
19990929,2719.995
19990930,2693.283
19991001,2693.786
19991004,2642.932
19991005,2619.266
19991006,2610.051
19991007,2566.375
19991008,2475.785
19991011,2506.132
19991012,2591.565
19991013,2637.795
19991014,2591.559
19991015,2621.78
19991018,2613.799
19991019,2609.239
19991020,2603.164
19991021,2610.773
19991022,2658.768
19991025,2651.571
19991026,2635.219
19991027,2625.908
19991028,2547.285
19991029,2554.387
19991101,2586.583
19991102,2575.522
19991103,2596.409
19991104,2620.528
19991105,2613.215
19991108,2616.613
19991109,2659.894
19991110,2684.807
19991111,2670.601
19991112,2709.316
19991115,2726.36
19991116,2738.959
19991117,2761.092
19991118,2712.711
19991119,2749.898
19991122,2784.268
19991123,2758.286
19991124,2776.487
19991126,2772.63
19991129,2728.934
19991130,2657.748
19991201,2676.569
19991202,2726.32
19991203,2720.041
19991206,2759.684
19991207,2738.254
19991208,2751.777
19991209,2718.128
19991210,2684.519
19991213,2694.147
19991214,2728.489
19991215,2755.691
19991216,2801.983
19991217,2810.215
19991220,2810.848
19991221,2793.799
19991222,2755.95
19991223,2776.628
19991227,2787.82
19991228,2811.954
19991229,2808.26
19991230,2769.594
19991231,2770.005
20000103,2766.771
20000104,2740.741
20000105,2714.811
20000106,2713.835
20000107,2689.979
20000110,2712.122
20000111,2768.236
20000112,2805.06
20000113,2830.118
20000114,2901.242
20000118,2957.261
20000119,2972.467
20000120,2993.337
20000121,2995.994
20000124,2972.64
20000125,3005.563
20000126,2971.355
20000127,2948.926
20000128,2941.196
20000131,2970.293
20000201,3013.519
20000202,2978.869
20000203,3005.528
20000204,3056.331
20000207,3018.771
20000208,2976.141
20000209,3022.045
20000210,3069.504
20000211,3068.89
20000214,3101.47
20000215,3096.954
20000216,3105.975
20000217,3072.262
20000218,3059.287
20000222,3072.975
20000223,3086.145
20000224,3117.735
20000225,3133.701
20000228,3129.386
20000229,3155.863
20000301,3251.416
20000302,3246.904
20000303,3244.016
20000306,3284.668
20000307,3387.094
20000308,3217.772
20000309,3252.848
20000310,3239.215
20000313,3260.284
20000314,3247.871
20000315,3205.842
20000316,3218.957
20000317,3214.367
20000320,3115.912
20000321,3134.389
20000322,3122.765
20000323,3116.905
20000324,3152.56
20000327,3151.416
20000328,3125.899
20000329,3073.635
20000330,3090.673
20000331,3119.234
20000403,3087.48
20000404,3010.409
20000405,3036.427
20000406,3019.626
20000407,2991.231
20000410,2919.576
20000411,2927.161
20000412,3021.168
20000413,3026.958
20000414,2995.36
20000417,3019.993
20000418,3039.081
20000419,3101.37
20000420,3103.087
20000424,3116.237
20000425,3084.074
20000426,3045.006
20000427,3072.862
20000428,3090.82
20000501,3126.474
20000502,3199.591
20000503,3175.451
20000504,3195.945
20000505,3196.121
20000508,3249.849
20000509,3292.268
20000510,3297.388
20000511,3361.491
20000512,3387.039
20000515,3401.946
20000516,3411.923
20000517,3417.292
20000518,3466.132
20000519,3454.449
20000522,3394.1
20000523,3400.882
20000524,3483.075
20000525,3523.046
20000526,3503.633
20000530,3506.489
20000531,3436.913
20000601,3483.544
20000602,3500.302
20000605,3485.46
20000606,3485.619
20000607,3460.309
20000608,3468.148
20000609,3495.892
20000612,3562.23
20000613,3602.821
20000614,3595.719
20000615,3600.162
20000616,3543.899
20000619,3491.288
20000620,3554.841
20000621,3617.326
20000622,3684.844
20000623,3675.784
20000626,3648.637
20000627,3684.845
20000628,3659.266
20000629,3714.353
20000630,3681.85
20000703,3678.732
20000705,3544.009
20000706,3499.512
20000707,3529.405
20000710,3505.589
20000711,3517.48
20000712,3529.106
20000713,3595.784
20000714,3583.674
20000717,3541.546
20000718,3607.948
20000719,3573.698
20000720,3544.182
20000721,3474.106
20000724,3417.495
20000725,3406.754
20000726,3413.294
20000727,3435.642
20000728,3448.632
20000731,3399.092
20000801,3431.419
20000802,3482.649
20000803,3502.507
20000804,3574.484
20000807,3513.143
20000808,3534.429
20000809,3603.63
20000810,3665.137
20000811,3661.302
20000814,3679.873
20000815,3666.087
20000816,3685.812
20000817,3713.857
20000818,3738.124
20000821,3794.571
20000822,3729.778
20000823,3799.442
20000824,3779.376
20000825,3813.175
20000828,3866.168
20000829,3879.959
20000830,3927.231
20000831,3922.848
20000901,3938.146
20000905,3990.322
20000906,4058.876
20000907,4097.886
20000908,3986.335
20000911,4098.45
20000912,4046.633
20000913,3997.803
20000914,4020.26
20000915,4107.22
20000918,4161.692
20000919,4120.766
20000920,4124.391
20000921,4060.382
20000922,3971.22
20000925,3924.721
20000926,3924.969
20000927,3936.334
20000928,3828.502
20000929,3869.143
20001002,3969.733
20001003,3969.038
20001004,3927.03
20001005,3860.416
20001006,3861.564
20001009,3937.891
20001010,4042.881
20001011,4089.378
20001012,4266.153
20001013,4134.499
20001016,4010.794
20001017,4006.546
20001018,3988.792
20001019,3926.382
20001020,3982.209
20001023,4036.972
20001024,4001.134
20001025,3946.64
20001026,3966.752
20001027,3891.13
20001030,3886.052
20001031,3877.86
20001101,3922.446
20001102,3895.395
20001103,3926.192
20001106,3934.961
20001107,3992.788
20001108,4010.854
20001109,4068.702
20001110,4066.869
20001113,4106.505
20001114,4167.049
20001115,4252.108
20001116,4189.533
20001117,4252.175
20001120,4291.943
20001121,4304.71
20001122,4332.713
20001124,4338.485
20001127,4324.678
20001128,4211.678
20001129,4233.14
20001130,4235.219
20001201,4129.414
20001204,4172.094
20001205,4066.871
20001206,4191.621
20001207,4145.478
20001208,4103.654
20001211,4245.486
20001212,4130.725
20001213,4015.494
20001214,3929.403
20001215,4052.763
20001218,4113.79
20001219,4106.231
20001220,3975.274
20001221,4020.689
20001222,4007.142
20001226,4054.067
20001227,4076.633
20001228,4039.488
20001229,4147.901
20010102,4022.431
20010103,4044.505
20010104,4124.902
20010105,4140.609
20010108,4136.265
20010109,4159.375
20010110,4208.571
20010111,4176.408
20010112,4179.66
20010116,4135.032
20010117,3983.83
20010118,4062.012
20010119,4173.151
20010122,4157.452
20010123,4099.333
20010124,4064.662
20010125,4092.913
20010126,4117.345
20010129,3995.647
20010130,3992.119
20010131,3927.752
20010201,4071.395
20010202,4205.275
20010205,4066.776
20010206,4069.35
20010207,4174.519
20010208,4188.459
20010209,4151.436
20010212,4081.005
20010213,4095.184
20010214,4024.377
20010215,3969.97
20010216,3987.601
20010220,3950.473
20010221,3917.764
20010222,3924.97
20010223,3941.671
20010226,3902.833
20010227,3907.53
20010228,3872.926
20010301,3887.726
20010302,3913.477
20010305,3980.124
20010306,3965.719
20010307,4006.536
20010308,3958.58
20010309,3909.504
20010312,3915.037
20010313,3871.635
20010314,3775.156
20010315,3766.112
20010316,3773.352
20010319,3740.874
20010320,3749.897
20010321,3770.498
20010322,3757.608
20010323,3826.386
20010326,3847.326
20010327,3908.112
20010328,3793.214
20010329,3764.038
20010330,3721.134
20010402,3688.729
20010403,3742.494
20010404,3833.687
20010405,3870.971
20010406,3842.527
20010409,3875.482
20010410,3976.612
20010411,3952.603
20010412,3966.609
20010416,4024.93
20010417,3984.754
20010418,3958.966
20010419,3930.661
20010420,3896.418
20010423,3890.818
20010424,3843.864
20010425,3862.92
20010426,3934.488
20010427,3917.467
20010430,3920.965
20010501,3951.325
20010502,3867.551
20010503,3924.289
20010504,3921.231
20010507,3862.302
20010508,3838.218
20010509,3868.75
20010510,3897.404
20010511,3877.154
20010514,3884.55
20010515,3924.694
20010516,3887.571
20010517,3898.38
20010518,3978.643
20010521,3963.36
20010522,3938.894
20010523,3922.233
20010524,3849.675
20010525,3820.415
20010529,3819.214
20010530,3822.08
20010531,3809.278
20010601,3795.96
20010604,3805.387
20010605,3802.927
20010606,3759.968
20010607,3753.178
20010608,3805.244
20010611,3862.187
20010612,3890.361
20010613,3855.07
20010614,3854.583
20010615,3809.246
20010618,3742.471
20010619,3745.988
20010620,3627.137
20010621,3627.344
20010622,3634.725
20010625,3633.888
20010626,3621.15
20010627,3508.619
20010628,3495.536
20010629,3533.709
20010702,3508.598
20010703,3522.267
20010705,3560.306
20010706,3645.697
20010709,3608.532
20010710,3608.288
20010711,3601.377
20010712,3619.438
20010713,3570.65
20010716,3529.754
20010717,3540.284
20010718,3477.35
20010719,3445.517
20010720,3495.973
20010723,3507.422
20010724,3516.725
20010725,3585.14
20010726,3573.685
20010727,3586.166
20010730,3567.59
20010731,3542.165
20010801,3538.915
20010802,3613.494
20010803,3578.782
20010806,3590.232
20010807,3607.616
20010808,3588.907
20010809,3590.938
20010810,3628.771
20010813,3626.742
20010814,3639.323
20010815,3640.711
20010816,3613.061
20010817,3541.176
20010820,3549.851
20010821,3583.966
20010822,3544.01
20010823,3565.12
20010824,3582.732
20010827,3560.923
20010828,3578.467
20010829,3577.568
20010830,3527.986
20010831,3576.031
20010904,3549.417
20010905,3563.021
20010906,3594.928
20010907,3640.92
20010910,3611.185
20010911,3648.43
20010914,3767.117
20010917,3692.354
20010918,3576.966
20010919,3466.9
20010920,3450.419
20010921,3396.837
20010924,3099.223
20010925,3091.329
20010926,3136.25
20010927,3152.575
20010928,3184.238
20011001,3163.577
20011002,3127.45
20011003,3093.073
20011004,3144.71
20011005,3106.341
20011008,3104.209
20011009,3110.242
20011010,3119.782
20011011,3170.488
20011012,3085.356
20011015,3047.725
20011016,3058.055
20011017,3032.058
20011018,2997.696
20011019,3063.563
20011022,3060.186
20011023,3029.908
20011024,3080.799
20011025,3058.478
20011026,3064.385
20011029,3086.477
20011030,3057.422
20011031,3023.672
20011101,2966.447
20011102,2942.624
20011105,2901.046
20011106,2882.952
20011107,2898.056
20011108,2983.664
20011109,3059.608
20011112,2970.553
20011113,3014.856
20011114,2882.963
20011115,2730.682
20011116,2782.211
20011119,2799.105
20011120,2852.843
20011121,2838.506
20011123,2852.531
20011126,2808.541
20011127,2866.08
20011128,2822.885
20011129,2784.105
20011130,2861.276
20011203,2889.032
20011204,2844.756
20011205,2826.939
20011206,2759.949
20011207,2785.612
20011210,2747.573
20011211,2737.445
20011212,2740.969
20011213,2729.803
20011214,2815.185
20011217,2804.613
20011218,2808.744
20011219,2821.041
20011220,2785.911
20011221,2825.903
20011224,2830.747
20011226,2916.216
20011227,2892.006
20011228,2877.913
20011231,2823.347
20020101,2891.268
20020102,2843.235
20020103,2929.873
20020106,2929.199
20020107,2914.1
20020108,2844.058
20020109,2853.264
20020110,2822.296
20020113,2761.249
20020114,2769.412
20020115,2789.334
20020116,2718.019
20020117,2709.181
20020121,2707.43
20020122,2741.536
20020123,2756.683
20020124,2773.469
20020127,2759.531
20020128,2732.202
20020129,2695.535
20020130,2735.262
20020131,2804.816
20020203,2779.848
20020204,2775.003
20020205,2752.004
20020206,2744.52
20020207,2791.908
20020210,2867.569
20020211,2834.812
20020212,2855.518
20020213,2843.343
20020214,2846.033
20020218,2816.66
20020219,2775.303
20020220,2812.608
20020221,2815.125
20020224,2757.272
20020225,2816.11
20020226,2829.278
20020227,2854.737
20020228,2915.894
20020303,2928.689
20020304,2980.869
20020305,2992.278
20020306,3061.38
20020307,3071.441
20020310,3132.131
20020311,3121.157
20020312,3112.716
20020313,3139.189
20020314,3148.305
20020317,3202.843
20020318,3192.649
20020319,3163.573
20020320,3220.59
20020321,3187.671
20020324,3169.01
20020325,3192.387
20020326,3224.045
20020327,3239.606
20020331,3294.556
20020401,3383.12
20020402,3340.27
20020403,3264.337
20020404,3211.895
20020407,3240.827
20020408,3185.993
20020409,3188.447
20020410,3096.819
20020411,2989.646
20020414,3091.297
20020415,3109.485
20020416,3191.236
20020417,3201.426
20020418,3209.154
20020421,3211.242
20020422,3222.354
20020423,3185.241
20020424,3194.733
20020425,3223.648
20020428,3265.169
20020429,3275.471
20020430,3230.236
20020501,3183.355
20020502,3209.261
20020505,3177.746
20020506,3206.634
20020507,3270.602
20020508,3260.217
20020509,3295.512
20020512,3329.846
20020513,3389.437
20020514,3300.157
20020515,3285.823
20020516,3282.567
20020519,3278.825
20020520,3210.823
20020521,3214.468
20020522,3205.374
20020523,3181.654
20020527,3140.543
20020528,3185.718
20020529,3085.491
20020530,3132.949
20020602,3128.464
20020603,3144.592
20020604,3120.274
20020605,3110.756
20020606,3097.283
20020609,3060.588
20020610,3045.504
20020611,3077.057
20020612,3166.579
20020613,3189.529
20020616,3204.158
20020617,3160.778
20020618,3154.157
20020619,3169.581
20020620,3151.355
20020623,3221.559
20020624,3217.944
20020625,3223.399
20020626,3236.911
20020627,3240.015
20020630,3256.992
20020701,3253.14
20020702,3249.031
20020704,3257.361
20020707,3180.511
20020708,3196.605
20020709,3240.062
20020710,3244.251
20020711,3273.715
20020714,3254.773
20020715,3314.659
20020716,3319.452
20020717,3313.491
20020718,3319.7
20020721,3259.328
20020722,3208.609
20020723,3255.227
20020724,3236.692
20020725,3217.096
20020728,3201.14
20020729,3261.519
20020730,3258.748
20020731,3208.95
20020801,3230.943
20020804,3191.596
20020805,3235.734
20020806,3193.581
20020807,3204.864
20020808,3226.835
20020811,3303.515
20020812,3319.343
20020813,3332.948
20020814,3411.583
20020815,3414.255
20020818,3431.78
20020819,3409.201
20020820,3447.922
20020821,3452.942
20020822,3439.699
20020825,3485.864
20020826,3464.935
20020827,3426.377
20020828,3441.202
20020829,3455.835
20020902,3367.591
20020903,3425.952
20020904,3496.909
20020905,3549.545
20020908,3587.062
20020909,3594.523
20020910,3590.898
20020911,3526.783
20020912,3583.885
20020915,3580.967
20020916,3553.75
20020917,3594.155
20020918,3585.657
20020919,3580.033
20020922,3629.273
20020923,3622.83
20020924,3599.097
20020925,3602.759
20020926,3619.721
20020929,3613.648
20020930,3639.062
20021001,3627.762
20021002,3537.823
20021003,3525.096
20021006,3532.831
20021007,3544.628
20021008,3537.632
20021009,3497.685
20021010,3544.591
20021013,3596.256
20021014,3608.343
20021015,3598.328
20021016,3613.614
20021017,3604.286
20021020,3511.093
20021021,3483.327
20021022,3498.43
20021023,3501.186
20021024,3428.946
20021027,3446.39
20021028,3411.219
20021029,3419.625
20021030,3443.137
20021031,3438.367
20021103,3406.838
20021104,3346.857
20021105,3314.692
20021106,3284.694
20021107,3287.799
20021110,3289.734
20021111,3280.575
20021112,3229.671
20021113,3241.799
20021114,3271.923
20021117,3362.617
20021118,3357.256
20021119,3397.265
20021120,3419.099
20021121,3449.061
20021124,3405.937
20021125,3407.57
20021126,3439.957
20021128,3435.663
20021201,3476.981
20021202,3461.03
20021203,3421.921
20021204,3460.76
20021205,3432.361
20021208,3446.579
20021209,3509.711
20021210,3502.048
20021211,3574.078
20021212,3627.666
20021215,3736.046
20021216,3719.99
20021217,3756.271
20021218,3737.177
20021219,3741.777
20021222,3836.513
20021223,3854.719
20021225,3853.132
20021226,3864.67
20021229,3753.866
20021230,3728.757
20030101,3819.382
20030102,3915.085
20030105,3817.879
20030106,3763.965
20030107,3744.571
20030108,3847.606
20030109,3797.258
20030112,3839.012
20030113,3846.884
20030114,3907.266
20030115,3947.456
20030116,3946.451
20030120,3951.469
20030121,3957.147
20030122,3913.992
20030123,3987.083
20030126,3915.83
20030127,3956.95
20030128,4055.188
20030129,4075.058
20030130,4064.017
20030202,4032.363
20030203,4096.407
20030204,4126.295
20030205,4162.001
20030206,4267.747
20030209,4207.072
20030210,4266.955
20030211,4228.495
20030212,4253.915
20030213,4271.034
20030217,4269.585
20030218,4303.95
20030219,4249.894
20030220,4344.462
20030223,4524.973
20030224,4385.358
20030225,4540.502
20030226,4515.972
20030227,4556.683
20030302,4434.802
20030303,4479.178
20030304,4455.421
20030305,4468.485
20030306,4552.407
20030309,4481.934
20030310,4384.703
20030311,4419.918
20030312,4260.047
20030313,4165.144
20030316,4094.823
20030317,3920.197
20030318,3876.979
20030319,3791.317
20030320,3668.874
20030323,3781.418
20030324,3710.927
20030325,3745.34
20030326,3868.507
20030327,3844.508
20030330,3900.014
20030331,3817.548
20030401,3730.994
20030402,3740.089
20030403,3719.13
20030406,3709.428
20030407,3707.317
20030408,3782.03
20030409,3720.034
20030410,3748.052
20030413,3754.053
20030414,3808.447
20030415,3805.783
20030416,3882.44
20030420,3906.35
20030421,3844.797
20030422,3747.154
20030423,3735.892
20030424,3718.583
20030427,3626.946
20030428,3608.759
20030429,3660.664
20030430,3665.537
20030501,3632.091
20030504,3716.237
20030505,3673.147
20030506,3719.444
20030507,3783.618
20030508,3859.717
20030511,3861.476
20030512,3958.411
20030513,4006.342
20030514,3974.728
20030515,3993.492
20030518,3938.685
20030519,3946.952
20030520,4005.029
20030521,3973.494
20030522,3992.194
20030526,3981.724
20030527,3926.71
20030528,3972.458
20030529,4011.637
20030601,4104.086
20030602,4089.294
20030603,4041.703
20030604,4105.62
20030605,4142.313
20030608,4136.59
20030609,4160.419
20030610,4176.399
20030611,4064.204
20030612,3976.519
20030615,3989.837
20030616,4002.067
20030617,3956.1
20030618,3966.589
20030619,4015.074
20030622,3990.296
20030623,3944.081
20030624,4040.297
20030625,3926.79
20030626,3951.633
20030629,4020.441
20030630,4031.152
20030701,4012.348
20030702,4025.279
20030706,4021.404
20030707,4049.199
20030708,4113.264
20030709,4091.165
20030710,4101.702
20030713,4093.104
20030714,4078.1
20030715,4018.696
20030716,4049.382
20030717,4079.567
20030720,4072.851
20030721,3950.284
20030722,3976.479
20030723,4004.968
20030724,4009.472
20030727,4011.988
20030728,4016.373
20030729,4043.694
20030730,4049.073
20030731,4199.545
20030803,4144.735
20030804,4176.395
20030805,4158.544
20030806,4237.609
20030807,4212.649
20030810,4205.417
20030811,4220.837
20030812,4151.157
20030813,4142.146
20030814,4137.354
20030817,4149.329
20030818,4134.176
20030819,4186.3
20030820,4264.333
20030821,4273.773
20030824,4231.748
20030825,4244.626
20030826,4181.752
20030827,4205.73
20030828,4214.535
20030901,4036.225
20030902,4053.615
20030903,4035.96
20030904,4026.316
20030907,4021.443
20030908,4049.255
20030909,4081.725
20030910,4028.919
20030911,3983.814
20030914,3971.602
20030915,3915.556
20030916,3870.379
20030917,3853.538
20030918,3844.404
20030921,3865.298
20030922,3862.942
20030923,3963.057
20030924,3965.224
20030925,3940.943
20030928,3986.647
20030929,4042.416
20030930,4053.642
20031001,4089.684
20031002,4130.944
20031005,4141.631
20031006,4169.634
20031007,4142.105
20031008,4278.385
20031009,4373.251
20031012,4378.775
20031013,4353.077
20031014,4348.698
20031015,4320.699
20031016,4214.673
20031019,4173.488
20031020,4178.897
20031021,4164.936
20031022,4212.854
20031023,4200.202
20031026,4166.009
20031027,4149.573
20031028,4130.245
20031029,4066.893
20031030,4130.979
20031102,4081.732
20031103,4070.298
20031104,4217.431
20031105,4181.503
20031106,4235.891
20031109,4238.725
20031110,4278.946
20031111,4283.441
20031112,4329.23
20031113,4392.293
20031116,4309.386
20031117,4415.05
20031118,4335.468
20031119,4307.698
20031120,4296.961
20031123,4159.092
20031124,4169.839
20031125,4216.431
20031127,4236.69
20031130,4256.77
20031201,4353.048
20031202,4395.413
20031203,4448.715
20031204,4387.967
20031207,4559.766
20031208,4513.311
20031209,4508.749
20031210,4488.126
20031211,4624.693
20031214,4625.018
20031215,4589.788
20031216,4652.267
20031217,4692.34
20031218,4633.469
20031221,4474.689
20031222,4460.108
20031223,4510.046
20031225,4516.214
20031228,4481.494
20031229,4543.617
20031230,4501.27
20040101,4520.702
20040104,4697.168
20040105,4703.798
20040106,4673.369
20040107,4732.327
20040108,4786.451
20040111,4784.621
20040112,4702.453
20040113,4690.518
20040114,4532.781
20040115,4663.715
20040119,4772.31
20040120,4748.742
20040121,4735.178
20040122,4734.685
20040125,4654.702
20040126,4625.301
20040127,4582.724
20040128,4511.56
20040129,4518.907
20040201,4631.38
20040202,4583.887
20040203,4509.784
20040204,4509.672
20040205,4461.228
20040208,4493.517
20040209,4562.886
20040210,4577.095
20040211,4603.752
20040212,4657.848
20040216,4698.227
20040217,4673
20040218,4681.898
20040219,4636.61
20040222,4654.129
20040223,4685.733
20040224,4778.285
20040225,4802.513
20040226,4854.228
20040229,4929.981
20040301,4894.271
20040302,4778.157
20040303,4839.93
20040304,4883.844
20040307,4800.854
20040308,4779.435
20040309,4766.075
20040310,4866.71
20040311,4813.356
20040314,4936.002
20040315,4944.508
20040316,5032.855
20040317,5021.358
20040318,5023.362
20040321,5002.141
20040322,5022.874
20040323,4980.062
20040324,4854.129
20040325,4879.906
20040328,4860.064
20040329,4973.069
20040330,4951.779
20040331,4858.13
20040401,4844.51
20040404,4828.795
20040405,4887.567
20040406,4985.511
20040407,5061.882
20040411,5096.446
20040412,5011.137
20040413,5023.751
20040414,5043.101
20040415,5033.651
